group,sample,compound,spike_ppm,injection,retention_min,peak_area
calib,STD,caffeine,0.0,1,,
calib,STD,caffeine,20.0,1,,
calib,STD,caffeine,40.0,1,,
calib,STD,caffeine,60.0,1,,
calib,STD,sodium_benzoate,0.0,1,,
calib,STD,sodium_benzoate,20.0,1,,
calib,STD,sodium_benzoate,40.0,1,,
calib,STD,sodium_benzoate,60.0,1,,
sample,monster,caffeine,0.0,1,,
sample,monster,caffeine,0.0,2,,
sample,monster,caffeine,0.0,3,,
sample,monster,caffeine,0.0,4,,
sample,monster,caffeine,20.0,1,,
sample,monster,caffeine,20.0,2,,
sample,monster,caffeine,20.0,3,,
sample,monster,caffeine,20.0,4,,
sample,monster,caffeine,40.0,1,,
sample,monster,caffeine,40.0,2,,
sample,monster,caffeine,40.0,3,,
sample,monster,caffeine,40.0,4,,
sample,monster,caffeine,60.0,1,,
sample,monster,caffeine,60.0,2,,
sample,monster,caffeine,60.0,3,,
sample,monster,caffeine,60.0,4,,
sample,monster,sodium_benzoate,0.0,1,,
sample,monster,sodium_benzoate,0.0,2,,
sample,monster,sodium_benzoate,0.0,3,,
sample,monster,sodium_benzoate,0.0,4,,
sample,monster,sodium_benzoate,20.0,1,,
sample,monster,sodium_benzoate,20.0,2,,
sample,monster,sodium_benzoate,20.0,3,,
sample,monster,sodium_benzoate,20.0,4,,
sample,monster,sodium_benzoate,40.0,1,,
sample,monster,sodium_benzoate,40.0,2,,
sample,monster,sodium_benzoate,40.0,3,,
sample,monster,sodium_benzoate,40.0,4,,
sample,monster,sodium_benzoate,60.0,1,,
sample,monster,sodium_benzoate,60.0,2,,
sample,monster,sodium_benzoate,60.0,3,,
sample,monster,sodium_benzoate,60.0,4,,
sample,netflix,caffeine,0.0,1,,
sample,netflix,caffeine,0.0,2,,
sample,netflix,caffeine,0.0,3,,
sample,netflix,caffeine,0.0,4,,
sample,netflix,caffeine,20.0,1,,
sample,netflix,caffeine,20.0,2,,
sample,netflix,caffeine,20.0,3,,
sample,netflix,caffeine,20.0,4,,
sample,netflix,caffeine,40.0,1,,
sample,netflix,caffeine,40.0,2,,
sample,netflix,caffeine,40.0,3,,
sample,netflix,caffeine,40.0,4,,
sample,netflix,caffeine,60.0,1,,
sample,netflix,caffeine,60.0,2,,
sample,netflix,caffeine,60.0,3,,
sample,netflix,caffeine,60.0,4,,
sample,netflix,sodium_benzoate,0.0,1,,
sample,netflix,sodium_benzoate,0.0,2,,
sample,netflix,sodium_benzoate,0.0,3,,
sample,netflix,sodium_benzoate,0.0,4,,
sample,netflix,sodium_benzoate,20.0,1,,
sample,netflix,sodium_benzoate,20.0,2,,
sample,netflix,sodium_benzoate,20.0,3,,
sample,netflix,sodium_benzoate,20.0,4,,
sample,netflix,sodium_benzoate,40.0,1,,
sample,netflix,sodium_benzoate,40.0,2,,
sample,netflix,sodium_benzoate,40.0,3,,
sample,netflix,sodium_benzoate,40.0,4,,
sample,netflix,sodium_benzoate,60.0,1,,
sample,netflix,sodium_benzoate,60.0,2,,
sample,netflix,sodium_benzoate,60.0,3,,
sample,netflix,sodium_benzoate,60.0,4,,
sample,wisely,caffeine,0.0,1,,
sample,wisely,caffeine,0.0,2,,
sample,wisely,caffeine,0.0,3,,
sample,wisely,caffeine,0.0,4,,
sample,wisely,caffeine,20.0,1,,
sample,wisely,caffeine,20.0,2,,
sample,wisely,caffeine,20.0,3,,
sample,wisely,caffeine,20.0,4,,
sample,wisely,caffeine,40.0,1,,
sample,wisely,caffeine,40.0,2,,
sample,wisely,caffeine,40.0,3,,
sample,wisely,caffeine,40.0,4,,
sample,wisely,caffeine,60.0,1,,
sample,wisely,caffeine,60.0,2,,
sample,wisely,caffeine,60.0,3,,
sample,wisely,caffeine,60.0,4,,
sample,wisely,sodium_benzoate,0.0,1,,
sample,wisely,sodium_benzoate,0.0,2,,
sample,wisely,sodium_benzoate,0.0,3,,
sample,wisely,sodium_benzoate,0.0,4,,
sample,wisely,sodium_benzoate,20.0,1,,
sample,wisely,sodium_benzoate,20.0,2,,
sample,wisely,sodium_benzoate,20.0,3,,
sample,wisely,sodium_benzoate,20.0,4,,
sample,wisely,sodium_benzoate,40.0,1,,
sample,wisely,sodium_benzoate,40.0,2,,
sample,wisely,sodium_benzoate,40.0,3,,
sample,wisely,sodium_benzoate,40.0,4,,
sample,wisely,sodium_benzoate,60.0,1,,
sample,wisely,sodium_benzoate,60.0,2,,
sample,wisely,sodium_benzoate,60.0,3,,
sample,wisely,sodium_benzoate,60.0,4,,
